1 1 1 1    1.253314137
1 1 1 5    0.3133285343
1 1 2 3    0.3133285343
1 1 3 2    0.3133285343
1 1 4 6    0.1174982004
1 1 5 1    0.3133285343
1 1 5 5    0.2349964007
1 1 6 4    0.1174982004
1 2 1 2    0.3133285343
1 2 2 1    0.939985603
1 2 2 5    0.07833213358
1 2 3 4    0.1661675485
1 2 4 3    0.2769459142
1 2 5 2    -0.07833213358
1 3 1 3    0.3133285343
1 3 2 6    0.1661675485
1 3 3 1    0.939985603
1 3 3 5    0.07833213358
1 3 5 3    -0.07833213358
1 3 6 2    0.2769459142
1 4 1 4    0.1174982004
1 4 2 2    0.2769459142
1 4 4 1    0.744155269
1 4 4 5    -0.009791516698
1 4 5 4    -0.08812365028
1 5 1 1    0.3133285343
1 5 1 5    0.2349964007
1 5 2 3    -0.07833213358
1 5 3 2    -0.07833213358
1 5 4 6    -0.08812365028
1 5 5 1    0.8616534694
1 5 5 5    0.1370812338
1 5 6 4    -0.08812365028
1 6 1 6    0.1174982004
1 6 3 3    0.2769459142
1 6 5 6    -0.08812365028
1 6 6 1    0.744155269
1 6 6 5    -0.009791516698
2 1 1 2    0.939985603
2 1 2 1    0.3133285343
2 1 2 5    -0.07833213358
2 1 3 4    0.2769459142
2 1 4 3    0.1661675485
2 1 5 2    0.07833213358
2 2 1 4    0.2769459142
2 2 2 2    0.8616534694
2 2 4 1    0.2769459142
2 2 4 5    -0.1523202528
2 2 5 4    -0.1523202528
2 3 1 1    0.3133285343
2 3 1 5    -0.07833213358
2 3 2 3    0.2349964007
2 3 3 2    0.8616534694
2 3 4 6    0.1468727505
2 3 5 1    -0.07833213358
2 3 5 5    0.1370812338
2 3 6 4    0.3035370176
2 4 2 4    0.3035370176
2 4 4 2    0.7539467857
2 5 1 2    0.07833213358
2 5 2 1    -0.07833213358
2 5 2 5    0.1370812338
2 5 3 4    -0.1523202528
2 5 4 3    -0.1246256614
2 5 5 2    0.7245722356
2 6 1 3    0.1661675485
2 6 2 6    0.1468727505
2 6 3 1    0.2769459142
2 6 3 5    -0.1523202528
2 6 5 3    -0.1246256614
2 6 6 2    0.7539467857
3 1 1 3    0.939985603
3 1 2 6    0.2769459142
3 1 3 1    0.3133285343
3 1 3 5    -0.07833213358
3 1 5 3    0.07833213358
3 1 6 2    0.1661675485
3 2 1 1    0.3133285343
3 2 1 5    -0.07833213358
3 2 2 3    0.8616534694
