  11  19  30      7.505320    7.334065    0.171255
  11  20  31      7.389206    7.132048    0.257158
  11  21  32      7.214584    6.919983    0.294601
  12   7  19      5.902026    5.307505    0.594522
  12   8  20      6.723970    6.236471    0.487499
  12   9  21      7.104605    6.919041    0.185564
  12  10  22      7.662764    7.409567    0.253197
  12  11  23      7.901104    7.749483    0.151621
  12  12  24      8.260709    7.970700    0.290009
  12  13  25      8.223504    8.098000    0.125504
  12  14  26      8.333869    8.150792    0.183077
  12  15  27      8.263851    8.144382    0.119470
  12  16  28      8.272407    8.090915    0.181492
  12  17  29      8.113203    8.000087    0.113116
  12  18  30      8.054780    7.879673    0.175107
  12  19  31      7.871387    7.735943    0.135444
  12  20  32      7.806425    7.573964    0.232461
  12  21  33      7.636915    7.397848    0.239068
  12  22  34      7.543417    7.210943    0.332475
  12  23  35      7.356232    7.015980    0.340252
  12  24  36      7.244420    6.815188    0.429231
  13  10  23      7.335726    7.125734    0.209992
  13  11  24      7.649583    7.551745    0.097838
  13  12  25      8.021144    7.853815    0.167329
  13  13  26      8.149766    8.056328    0.093438
  13  14  27      8.331548    8.178607    0.152941
  13  15  28      8.309886    8.236078    0.073808
  13  16  29      8.348724    8.241123    0.107601
  13  17  30      8.261384    8.203741    0.057643
  13  18  31      8.225655    8.132043    0.093612
  13  19  32      8.099175    8.032640    0.066536
  13  20  33      8.018794    7.910937    0.107857
  13  21  34      7.861805    7.771378    0.090427
  13  22  35      7.787012    7.617618    0.169394
  13  23  36      7.623514    7.452678    0.170836
  13  24  37      7.531316    7.279055    0.252261
  13  25  38      7.377098    7.098820    0.278277
  14  10  24      7.166838    6.789940    0.376898
  14  11  25      7.480136    7.293136    0.187000
  14  12  26      7.924708    7.668766    0.255941
  14  13  27      8.124337    7.940606    0.183731
  14  14  28      8.447743    8.127710    0.320033
  14  15  29      8.448635    8.245442    0.203193
  14  16  30      8.520654    8.306266    0.214388
  14  17  31      8.458290    8.320345    0.137945
  14  18  32      8.481469    8.296008    0.185461
  14  19  33      8.361057    8.240104    0.120954
  14  20  34      8.336139    8.158295    0.177844
  14  21  35      8.168676    8.055275    0.113401
  14  22  36      8.112005    7.934945    0.177061
  14  23  37      7.953519    7.800562    0.152957
  14  24  38      7.892828    7.654847    0.237981
  14  25  39      7.730980    7.500083    0.230897
  14  26  40      7.661756    7.338182    0.323573
  14  27  41      7.508573    7.170756    0.337817
  15  12  27      7.663193    7.430381    0.232811
  15  13  28      7.907525    7.765813    0.141712
  15  14  29      8.251227    8.013044    0.238183
  15  15  30      8.353497    8.187250    0.166246
  15  16  31      8.481168    8.300853    0.180315
  15  17  32      8.464119    8.364072    0.100047
  15  18  33      8.513806    8.385348    0.128458
  15  19  34      8.448186    8.371694    0.076492
  15  20  35      8.446249    8.328946    0.117303
  15  21  36      8.307870    8.261988    0.045882
  15  22  37      8.267551    8.174913    0.092638
  15  23  38      8.147832    8.071165    0.076667
  15  24  39      8.098495    7.953650    0.144846
  15  25  40      7.979797    7.824821    0.154976
  15  26  41      7.906551    7.686760    0.219791
  15  27  42      7.767867    7.541229    0.226638
  15  28  43      7.689572    7.389728    0.299845
  16  12  28      7.478789    7.150386    0.328403
  16  13  29      7.748545    7.543930    0.204615
  16  14  30      8.122809    7.846693    0.276116
  16  15  31      8.281816    8.073565    0.208252
  16  16  32      8.493128    8.236829    0.256299
  16  17  33      8.497631    8.346669    0.150962
  16  18  34      8.583497    8.411573    0.171924
  16  19  35      8.537848    8.438635    0.099214
  16  20  36      8.575389    8.433808    0.141581
  16  21  37      8.459935    8.402108    0.057827
  16  22  38      8.448782    8.347774    0.101008
  16  23  39      8.344262    8.274394    0.069868
  16  24  40      8.331637    8.185020    0.146617
  16  25  41      8.231590    8.082253    0.149338
  16  26  42      8.194174    7.968304    0.225870
  16  27  43      8.060916    7.845072    0.215844
  16  28  44      7.993641    7.714181    0.279460
  16  29  45      7.881807    7.577024    0.304782
  17  14  31      7.870229    7.638480    0.231749
  17  15  32      8.072419    7.914280    0.158139
  17  16  33      8.304754    8.124068    0.180686
  17  17  34      8.398968    8.277936    0.121032
  17  18  35      8.520277    8.384340    0.135937
  17  19  36      8.521931    8.450406    0.071525
  17  20  37      8.570281    8.482148    0.088133
  17  21  38      8.505482    8.484672    0.020810
  17  22  39      8.494403    8.462317    0.032086
  17  23  40      8.427765    8.418781    0.008984
  17  24  41      8.412959    8.357233    0.055726
  17  25  42      8.347821    8.280382    0.067439
  17  26  43      8.329649    8.190558    0.139091
  17  27  44      8.237348    8.089769    0.147578
  17  28  45      8.183758    7.979743    0.204015
  17  29  46      8.082413    7.861974    0.220439
  18  14  32      7.700009    7.396425    0.303585
  18  15  33      7.928954    7.717545    0.211409
  18  16  34      8.197644    7.970780    0.226864
  18  17  35      8.327463    8.166063    0.161400
  18  18  36      8.519909    8.311780    0.208129
  18  19  37      8.527141    8.415032    0.112108
  18  20  38      8.614279    8.481861    0.132418
  18  21  39      8.562598    8.517416    0.045182
  18  22  40      8.595260    8.526103    0.069157
  18  23  41      8.534373    8.511703    0.022671
  18  24  42      8.555614    8.477464    0.078150
  18  25  43      8.488237    8.426188    0.062050
