  13  23   168.7217    0.0003 1  10
  13  24   183.5900    0.0010 1  11
  13  25   200.5286    0.0005 1  12
  13  26   211.8939    0.0001 1  13
  13  27   224.9518    0.0001 1  14
  13  28   232.6768    0.0001 1  15
  13  29   242.1130    0.0012 1  16
  13  30   247.8415    0.0140 1  17
  13  31   254.9953    0.0203 1  18
  13  32   259.1736    0.0860 1  19
  13  33   264.6202    0.0683 1  20
  13  34   267.3014    0.0599 1  21
  13  35   272.5454    0.0699 1  22
  13  36   274.4465    0.0997 1  23
  13  37   278.6587    0.1202 1  24
  13  38   280.3297    0.2496 1  25
  14  24   172.0041    0.0195 1  10
  14  25   187.0034    0.0100 1  11
  14  26   206.0424    0.0001 1  12
  14  27   219.3571    0.0001 1  13
  14  28   236.5368    0.0000 1  14
  14  29   245.0104    0.0000 1  15
  14  30   255.6196    0.0000 1  16
  14  31   262.2070    0.0000 1  17
  14  32   271.4070    0.0003 1  18
  14  33   275.9149    0.0007 1  19
  14  34   283.4287    0.0141 1  20
  14  35   285.9037    0.0384 1  21
  14  36   292.0322    0.0568 1  22
  14  37   294.2802    0.0830 1  23
  14  38   299.9275    0.0698 1  24
  14  39   301.5082    0.0904 1  25
  14  40   306.4702    0.2301 1  26
  14  41   307.8515    0.3698 1  27
  15  27   206.9062    0.0264 1  12
  15  28   221.4107    0.0011 1  13
  15  29   239.2856    0.0006 1  14
  15  30   250.6049    0.0003 1  15
  15  31   262.9162    0.0000 1  16
  15  32   270.8518    0.0000 1  17
  15  33   280.9556    0.0011 1  18
  15  34   287.2383    0.0008 1  19
  15  35   295.6187    0.0019 1  20
  15  36   299.0833    0.0131 1  21
  15  37   305.8994    0.0380 1  22
  15  38   309.6176    0.0713 1  23
  15  39   315.8413    0.0810 1  24
  15  40   319.1919    0.1112 1  25
  15  41   324.1686    0.0801 1  26
  15  42   326.2504    0.2096 1  27
  15  43   330.6516    0.3698 1  28
  16  28   209.4061    0.1600 1  12
  16  29   224.7078    0.0500 1  13
  16  30   243.6843    0.0030 1  14
  16  31   256.7363    0.0010 1  15
  16  32   271.7801    0.0000 1  16
  16  33   280.4218    0.0000 1  17
  16  34   291.8389    0.0001 1  18
  16  35   298.8247    0.0000 1  19
  16  36   308.7140    0.0002 1  20
  16  37   313.0176    0.0002 1  21
  16  38   321.0537    0.0072 1  22
  16  39   325.4262    0.0500 1  23
  16  40   333.2655    0.1136 1  24
  16  41   337.4952    0.0613 1  25
  16  42   344.1553    0.1242 1  26
  16  43   346.6194    0.0997 1  27
  16  44   351.7202    0.1397 1  28
  16  45   354.6813    0.6903 1  29
  17  31   243.9771    0.0500 1  14
  17  32   258.3174    0.0009 1  15
  17  33   274.0569    0.0004 1  16
  17  34   285.5649    0.0001 1  17
  17  35   298.2097    0.0000 1  18
  17  36   306.7895    0.0000 1  19
  17  37   317.1004    0.0000 1  20
  17  38   323.2083    0.0001 1  21
  17  39   331.2817    0.0017 1  22
  17  40   337.1106    0.0321 1  23
  17  41   344.9313    0.0687 1  24
  17  42   350.6085    0.1438 1  25
  17  43   358.1749    0.2058 1  26
  17  44   362.4433    0.1375 1  27
  17  45   368.2691    0.0997 1  28
  17  46   371.7910    0.1602 1  29
  18  32   246.4003    0.0018 1  14
  18  33   261.6555    0.0004 1  15
  18  34   278.7199    0.0003 1  16
  18  35   291.4612    0.0007 1  17
  18  36   306.7167    0.0000 1  18
  18  37   315.5042    0.0002 1  19
  18  38   327.3426    0.0002 1  20
  18  39   333.9413    0.0050 1  21
  18  40   343.8104    0.0000 1  22
  18  41   349.9093    0.0003 1  23
  18  42   359.3358    0.0058 1  24
  18  43   364.9942    0.0053 1  25
  18  44   373.7289    0.0016 1  26
  18  45   378.8979    0.0005 1  27
  18  46   386.9278    0.0408 1  28
  18  47   390.4794    0.0898 1  29
  19  35   278.8044    0.0005 1  16
  19  36   293.1202    0.0004 1  17
  19  37   308.5743    0.0001 1  18
  19  38   320.6461    0.0002 1  19
  19  39   333.7240    0.0000 1  20
  19  40   341.5236    0.0000 1  21
  19  41   351.6190    0.0000 1  22
  19  42   359.1527    0.0001 1  23
  19  43   368.7774    0.0004 1  24
  19  44   376.0548    0.0004 1  25
  19  45   384.9603    0.0005 1  26
  19  46   391.8299    0.0007 1  27
  19  47   400.1963    0.0025 1  28
  19  48   404.8439    0.0024 1  29
  19  49   410.2419    0.0026 1  30
  19  50   414.4377    0.0103 1  31
  20  36   281.3716    0.0400 1  16
  20  37   296.1275    0.0008 1  17
  20  38   313.1216    0.0003 1  18
  20  39   326.4171    0.0006 1  19
  20  40   342.0522    0.0000 1  20
  20  41   350.4150    0.0001 1  21
  20  42   361.8957    0.0002 1  22
  20  43   369.8286    0.0002 1  23
  20  44   380.9599    0.0003 1  24
  20  45   388.3747    0.0004 1  25
  20  46   398.7737    0.0023 1  26
  20  47   406.0500    0.0022 1  27
  20  48   415.9998    0.0022 1  28
  20  49   421.1462    0.0022 1  29
  20  50   427.5070    0.0034 1  30
  20  51   431.8637    0.0937 1  31
  20  52   436.5707    0.6986 1  32
  21  39   312.5248    0.0240 1  18
  21  40   326.9467    0.0028 1  19
  21  41   343.1372    0.0001 1  20
  21  42   354.6872    0.0002 1  21
  21  43   366.8255    0.0018 1  22
  21  44   376.5250    0.0018 1  23
  21  45   387.8504    0.0006 1  24
  21  46   396.6110    0.0006 1  25
  21  47   407.2594    0.0019 1  26
  21  48   415.4967    0.0051 1  27
  21  49   425.6255    0.0031 1  28
  21  50   431.6829    0.0152 1  29
  21  51   438.4355    0.0201 1  30
  21  52   443.6358    0.1933 1  31
  21  55   457.0737    0.7360 1  34
  22  40   314.4915    0.1600 1  18
  22  41   328.8026    0.3633 1  19
  22  42   346.8884    0.0003 1  20
  22  43   359.1762    0.0069 1  21
  22  44   375.4749    0.0007 1  22
  22  45   385.0060    0.0008 1  23
  22  46   398.1960    0.0003 1  24
  22  47   407.0767    0.0003 1  25
  22  48   418.7034    0.0003 1  26
  22  49   426.8457    0.0003 1  27
  22  50   437.7850    0.0004 1  28
  22  51   444.1575    0.0006 1  29
  22  52   451.9658    0.0071 1  30
  22  53   457.3982    0.1001 1  31
  22  54   464.2339    0.1247 1  32
  22  55   468.3812    0.1521 1  33
  22  56   473.7189    0.1959 1  34
  22  57   476.3973    0.4554 1  35
  23  44   361.2604    0.1211 1  21
  23  45   377.0951    0.0170 1  22
  23  46   390.3610    0.0003 1  23
  23  47   403.3636    0.0003 1  24
  23  48   413.9057    0.0011 1  25
  23  49   425.4615    0.0009 1  26
  23  50   434.7960    0.0009 1  27
  23  51   445.8471    0.0009 1  28
  23  52   453.1584    0.0009 1  29
  23  53   461.6358    0.0031 1  30
  23  54   467.7493    0.0150 1  31
  23  55   475.0811    0.1000 1  32
  23  56   480.0799    0.2042 1  33
  23  57   486.2599    0.2330 1  34
  23  58   490.3512    0.2480 1  35
  23  59   495.2803    0.3074 1  36
  23  60   498.8623    0.4747 1  37
  24  46   381.9778    0.0200 1  22
  24  47   395.1342    0.0140 1  23
  24  48   411.4685    0.0073 1  24
  24  49   422.0512    0.0024 1  25
  24  50   435.0515    0.0009 1  26
  24  51   444.3122    0.0009 1  27
  24  52   456.3502    0.0006 1  28
  24  53   464.2894    0.0006 1  29
  24  54   474.0085    0.0006 1  30
  24  55   480.2548    0.0006 1  31
  24  56   488.4987    0.0018 1  32
  24  57   493.8129    0.0019 1  33
  24  58   501.1948    0.2029 1  34
  24  59   505.3229    0.2443 1  35
  24  60   512.0066    0.2134 1  36
  24  61   515.7547    0.2546 1  37
  24  62   522.0599    0.3370 1  38
  25  48   397.1880    0.1118 1  23
  25  49   413.5505    0.0240 1  24
  25  50   426.6347    0.0009 1  25
  25  51   440.3222    0.0009 1  26
  25  52   450.8567    0.0019 1  27
  25  53   462.9102    0.0006 1  28
  25  54   471.8490    0.0011 1  29
  25  55   482.0755    0.0004 1  30
  25  56   489.3459    0.0004 1  31
  25  57   497.9925    0.0015 1  32
  25  58   504.4052    0.0027 1  33
  25  59   512.1743    0.0023 1  34
  25  60   517.6882    0.0023 1  35
  25  61   524.5338    0.0023 1  36
  25  62   529.0439    0.0026 1  37
  25  63   535.8213    0.0037 1  38
  25  64   539.9947    0.0035 1  39
  25  65   546.0443    0.0037 1  40
  25  66   549.8987    0.0112 1  41
  26  50   417.7134    0.0600 1  24
  26  51   431.5176    0.0150 1  25
  26  52   447.7005    0.0066 1  26
  26  53   458.3855    0.0017 1  27
  26  54   471.7640    0.0005 1  28
  26  55   481.0621    0.0005 1  29
  26  56   492.2592    0.0004 1  30
  26  57   499.9052    0.0005 1  31
  26  58   509.9498    0.0005 1  32
  26  59   516.5308    0.0005 1  33
  26  60   525.3508    0.0034 1  34
  26  61   530.9297    0.0026 1  35
  26  62   538.9586    0.0028 1  36
  26  63   543.7876    0.0043 1  37
  26  64   551.1928    0.0049 1  38
  26  65   555.5161    0.0068 1  39
  26  66   562.4338    0.0041 1  40
  26  67   566.1296    0.4156 1  41
  26  68   571.6368    0.6986 1  42
  27  53   449.3151    0.0017 1  26
  27  54   462.7371    0.0005 1  27
  27  55   476.8284    0.0005 1  28
  27  56   486.9102    0.0006 1  29
  27  57   498.2867    0.0006 1  30
  27  58   506.8596    0.0012 1  31
  27  59   517.3135    0.0005 1  32
  27  60   524.8054    0.0005 1  33
  27  61   534.1246    0.0009 1  34
  27  62   540.7296    0.0200 1  35
  27  63   549.2092    0.0200 1  36
  27  64   555.2327    0.0200 1  37
  27  65   562.6974    0.0021 1  38
  27  66   567.9921    0.0140 1  39
  27  67   574.9768    0.0064 1  40
  27  68   579.6384    0.1304 1  41
  27  69   585.8002    0.3353 1  42
  27  70   589.5120    0.8383 1  43
  27  71   595.8135    0.8384 1  44
  28  54   453.1682    0.0500 1  26
  28  55   467.3519    0.0008 1  27
  28  56   483.9949    0.0006 1  28
  28  57   494.2426    0.0007 1  29
  28  58   506.4588    0.0005 1  30
  28  59   515.4581    0.0005 1  31
  28  60   526.8458    0.0005 1  32
  28  61   534.6659    0.0005 1  33
  28  62   545.2618    0.0005 1  34
  28  63   552.0995    0.0005 1  35
  28  64   561.7571    0.0006 1  36
  28  65   567.8552    0.0006 1  37
  28  66   576.8075    0.0014 1  38
  28  67   582.6152    0.0029 1  39
  28  68   590.4077    0.0030 1  40
  28  69   594.9938    0.0037 1  41
  28  70   602.3002    0.0022 1  42
  28  71   606.5638    0.0023 1  43
  28  72   613.4550    0.0023 1  44
  28  73   617.4084    0.0025 1  45
  29  57   484.6852    0.0006 1  28
  29  58   497.1154    0.0006 1  29
  29  59   509.8774    0.0006 1  30
  29  60   519.9355    0.0016 1  31
  29  61   531.6460    0.0010 1  32
  29  62   540.5206    0.0007 1  33
  29  63   551.3842    0.0005 1  34
  29  64   559.3003    0.0005 1  35
  29  65   569.2109    0.0007 1  36
  29  66   576.2769    0.0007 1  37
  29  67   585.4091    0.0012 1  38
  29  68   591.7286    0.0016 1  39
  29  69   599.9691    0.0014 1  40
  29  70   605.2806    0.0010 1  41
  29  71   613.0867    0.0015 1  42
  29  72   618.2299    0.0014 1  43
  29  73   625.5054    0.0020 1  44
  29  74   630.5957    0.0061 1  45
  29  75   637.1318    0.0024 1  46
  29  76   641.7081    0.0067 1  47
  29  77   647.1014    0.5030 1  48
  29  78   651.3721    0.5030 1  49
  30  58   486.9641    0.0500 1  28
  30  59   499.9522    0.0008 1  29
  30  60   514.9824    0.0007 1  30
  30  61   525.2232    0.0163 1  31
  30  62   538.1188    0.0007 1  32
  30  63   547.2356    0.0016 1  33
  30  64   559.0976    0.0006 1  34
  30  65   567.0769    0.0007 1  35
  30  66   578.1356    0.0009 1  36
  30  67   585.1879    0.0009 1  37
  30  68   595.3859    0.0009 1  38
  30  69   601.8680    0.0009 1  39
  30  70   611.0864    0.0020 1  40
  30  71   616.9221    0.0028 1  41
  30  72   625.8099    0.0022 1  42
  30  73   631.3292    0.0019 1  43
  30  74   639.5638    0.0025 1  44
  30  75   644.4373    0.0020 1  45
  30  76   652.2528    0.0014 1  46
  30  77   656.8102    0.0020 1  47
  30  78   663.5756    0.0020 1  48
  30  79   667.5960    0.0022 1  49
  30  80   673.8836    0.0026 1  50
  30  81   676.5059    0.0050 1  51
  31  61   515.1859    0.0526 1  30
  31  62   528.1553    0.0007 1  31
  31  63   540.7874    0.0013 1  32
  31  64   551.1450    0.0015 1  33
  31  65   563.0402    0.0008 1  34
  31  66   572.1782    0.0031 1  35
  31  67   583.4044    0.0012 1  36
  31  68   591.6826    0.0015 1  37
  31  69   601.9959    0.0012 1  38
  31  70   609.6495    0.0012 1  39
  31  71   618.9498    0.0008 1  40
  31  72   625.4703    0.0008 1  41
  31  73   634.6527    0.0017 1  42
  31  74   641.0743    0.0037 1  43
  31  75   649.5605    0.0024 1  44
  31  76   655.4640    0.0020 1  45
  31  77   663.2310    0.0024 1  46
  31  78   669.0160    0.0019 1  47
  31  79   675.9290    0.0019 1  48
  31  80   680.6763    0.0029 1  49
  31  81   687.1520    0.0032 1  50
  31  82   690.5260    0.0025 1  51
  31  83   694.9238    0.0026 1  52
  32  63   530.3791    0.0372 1  31
  32  64   545.8447    0.0037 1  32
  32  65   556.0811    0.0026 1  33
  32  66   569.2788    0.0024 1  34
  32  67   578.4010    0.0047 1  35
  32  68   590.7932    0.0019 1  36
  32  69   598.9864    0.0013 1  37
  32  70   610.5189    0.0008 1  38
  32  71   617.9348    0.0009 1  39
  32  72   628.6854    0.0005 1  40
  32  73   635.4683    0.0005 1  41
  32  74   645.6646    0.0005 1  42
  32  75   652.1698    0.0005 1  43
  32  76   661.5979    0.0001 1  44
  32  77   667.6702    0.0004 1  45
  32  78   676.3897    0.0035 1  46
  32  79   682.1255    0.0372 1  47
  32  80   690.2057    0.0021 1  48
  32  81   695.0333    0.0020 1  49
  32  82   702.2280    0.0022 1  50
  32  83   705.8606    0.0024 1  51
  32  84   711.1041    0.0032 1  52
  32  85   714.1503    0.0037 1  53
  33  65   545.7552    0.0848 1  32
  33  66   558.9181    0.0256 1  33
  33  67   571.5468    0.0013 1  34
  33  68   581.9267    0.0018 1  35
  33  69   594.1899    0.0312 1  36
  33  70   603.5166    0.0500 1  37
